Name_of_Covered_Entity	State	Individuals_Affected	Date_of_Breach	Type_of_Breach	Month	Year
UNCG Speech and Hearing Center	NC	2300	01/1/1997	Hacking/IT Incident	01	1997
UMass Memorial Medical Center	MA	2387	05/6/2002	Unauthorized Access/Disclosure	05	2002
Riverside Mercy Hospital and Ohio/Mercy Diagnostics	OH	1000	03/29/2003	Improper Disposal	03	2003
Duke University Health System	NC	591	04/21/2004	Unauthorized Access/Disclosure	04	2004
SW General Inc	AZ	566	05/1/2004	Theft	05	2004
Methodist Dallas Medical Center	TX	44000	09/01/2005 	Unauthorized Access/Disclosure	09	2005 
Harris County	TX	21000	08/15/2005 	Unauthorized Access/Disclosure	08	2005 
South Shore Physicians, PC	NY	8000	01/01/2006 	Theft	01	2006 
South Shore Medical Center	MA	4100	01/01/2007	Hacking/IT Incident	01	2007
Group Health Plan, Inc. Medical Benefit Plan	MN	796	01/7/2008	Loss, Unauthorized Access/Disclosure	01	2008
Triple-S Salud, Inc.	PR	8000	10/3/2008	Theft, Unauthorized Access/Disclosure	10	2008
OhioHealth Corporation dba Grant Medical Center	OH	501	01/1/2008	Theft	01	2008
University of Minnesota Employee Benefits	MN	715	01/7/2008	Loss, Unauthorized Access/Disclosure	01	2008
Puerto Rico Department of Health	PR	475000	10/3/2008	Unauthorized Access/Disclosure, Hacking/IT Incident	10	2008
Jackson Health System	FL	1562	10/1/2008	Unauthorized Access/Disclosure	10	2008
State Employee Group Insurance Plan	MN	1699	01/7/2008	Loss, Unauthorized Access/Disclosure	01	2008
Duke University Health System	NC	1370	07/01/2008 	Unauthorized Access/Disclosure	07	2008 
Harris County Hospital District	TX	2875	04/14/2008 	Theft	04	2008 
HealthPartners, Inc.	MN	27839	01/7/2008	Loss, Unauthorized Access/Disclosure	01	2008
Pinnacle Health System	PA	1085	10/1/2008	Unauthorized Access/Disclosure	10	2008
University of Louisville Research Foundation, Inc., DBA The Kidney Disease Program	KY	708	10/1/2008	Hacking/IT Incident	10	2008
Iowa Dept. of Human Services	IA	2042	12/1/2008	Other	12	2008
BlueCross BlueShield Association	DC	3400	10/26/2009	Theft	10	2009
Mark D. Lurie, MD	CA	5166	09/27/2009	Theft	09	2009
Missouri Department of Social Services	MO	25461	12/21/2009 	Unauthorized Access/Disclosure	12	2009 
David I. Cohen, MD	CA	857	09/27/2009	Theft	09	2009
AvMed, Inc.	FL	1220000	12/10/2009	Theft	12	2009
Goodwill Industries of Greater Grand Rapids, Inc.	MI	10000	12/15/2009	Theft	12	2009
Center for Neurosciences	AZ	1100	12/15/2009	Theft	12	2009
Michele Del Vicario, MD	CA	6145	09/27/2009	Theft	09	2009
Keith W. Mann, DDS, PLLC	NC	2000	12/8/2009	Hacking/IT Incident	12	2009
City of Hope National Medical Center	CA	5900	09/27/2009	Theft	09	2009
Massachusetts Eye and Ear Infirmary	MA	1076	11/10/2009	Theft	11	2009
L. Douglas Carlson, M.D.	CA	5257	09/27/2009	Theft	09	2009
Concentra	TX	900	11/19/2009	Theft	11	2009
University of Tennessee Medical Center	TN	8200	09/23/2009	Improper Disposal	09	2009
Health Services for Children with Special Needs, Inc.	DC	3800	10/9/2009	Loss	10	2009
Brooke Army Medical Center	TX	1000	10/16/2009	Theft	10	2009
University of Florida	FL	14519	03/01/2009 	Theft, Unauthorized Access/Disclosure, Other	03	2009 
Alaska Department of Health and Social Services	AK	501	10/12/2009	Theft	10	2009
University Medical Center of Southern Nevada	NV	5103	10/31/2009	Theft	10	2009
Children's Medical Center of Dallas	TX	3800	11/19/2009	Loss	11	2009
Motion Picture Industry Health Plans (MPI)	CA	703	09/23/2009 	Other	09	2009 
Mills-Peninsula Health Services	CA	1500	11/1/2009	Unauthorized Access/Disclosure	11	2009
Kern Medical Center	CA	596	10/31/2009	Theft	10	2009
Wyoming Department of Health	WY	9023	12/2/2009	Unauthorized Access/Disclosure 	12	2009
Memorial Sloan-Kettering Cancer Center	NY	568	08/13/2009	Theft	08	2009
Cardiology Consultants/Baptist Health Care Corporation	FL	8000	12/19/2009	Theft	12	2009
University of California, San Francisco	CA	610	09/22/2009	Other	09	2009
Brown University	RI	528	12/11/2009	Other	12	2009
Martin Luther King Jr. Health Center, Inc.	NY	37000	09/23/2009	Unauthorized Access/Disclosure	09	2009
Daniel J. Sigman MD PC	MA	1860	12/11/2009	Theft	12	2009
BlueCross BlueShield Association	DC	15000	10/7/2009	Theft	10	2009
Educators Mutual Insurance Association of Utah 	UT	5700	12/27/2009	Theft	12	2009
WellPoint, Inc.	IN	31700	11/3/2009	Hacking/IT Incident	11	2009
Affinity Health Plan, Inc.	NY	344579	11/24/2009	Theft	11	2009
The Children's Hospital of Philadelphia	PA	943	10/20/2009	Theft	10	2009
Advocate Health Care	IL	812	11/24/2009	Theft	11	2009
Detroit Department of Health and Wellness Promotion	MI	10000	10/22/2009	Theft	10	2009
Molina Healthcare of California	CA	11081	09/23/2009	Other	09	2009
Kaiser Permanente Medical Care Program	CA	15500	12/1/2009	Theft	12	2009
BlueCross BlueShield of Tennessee, Inc.	TN	1023209	10/2/2009	Theft	10	2009
State of TN, Bureau of TennCare	TN	3900	12/23/2009	Theft	12	2009
Joseph F. Lopez, MD	CA	952	09/27/2009	Theft	09	2009
South Texas Veterans Health Care System	TX	1430	09/30/2009	Loss, Improper Disposal	09	2009
BRONX-LEBANON HOSPITAL CENTER	NY	10930	09/23/2009	Unauthorized Access/Disclosure	09	2009
Mayo Clinic	MN	1740	07/15/2009	Unauthorized Access/Disclosure	07	2009
Blue Island Radiology Consultants	IL	2562	12/9/2009	Theft	12	2009
Mid America Kidney Stone Association, LLC	MO	1000	09/22/2009	Theft	09	2009
University of California, San Francisco	CA	7300	11/30/2009	Theft	11	2009
Aspen Dental Care P.C.	CO	2500	10/4/2009	Theft	10	2009
Omaha Construction Industry Health and Welfare Plan	NE	800	01/11/2009	Theft	01	2009
Blue Cross & Blue Shield of Rhode Island	RI	12000	12/20/2009	Theft	12	2009
Universal American	NY	83000	11/12/2009	Other	11	2009
Cogent Healthcare of Wisconsin, S.C.	TN	6400	10/11/2009	Theft	10	2009
Advanced NeuroSpinal Care	CA	3500	12/30/2009	Theft	12	2009
Detroit Department of Health and Wellness Promotion	MI	646	11/26/2009	Theft	11	2009
The University of Texas at Arlington	TX	27000	02/19/2009	Hacking/IT Incident	02	2009
University of Pittsburgh Student Health Center	PA	8000	03/11/2010	Theft, Loss	03	2010
Departamento de Salud de Puerto Rico	PR	2621	03/14/2010	Unknown	03	2010
Oconee Physician Practices	SC	653	05/9/2010	Theft	05	2010
Visiting Nurse Service Association of Schenectady County	NY	535	09/14/2010	Theft	09	2010
GENERAL AGENCIES WELFARE BENEFITS PROGRAM	TN	1874	02/5/2010	Loss	02	2010
Milton Pathology Associates, P.C.	MA	11000	07/26/2010	Improper Disposal	07	2010
Medical Center At Bowling Green	KY	5148	03/24/2010	Theft	03	2010
Rotech Healthcare Inc.	FL	10680	11/26/2010 	Unauthorized Access/Disclosure	11	2010 
Carolina Center for Development and Rehabilitation	NC	1590	06/24/2010	Theft	06	2010
